VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2024-01-01 00:25:00,2024-01-01 00:34:03,2.0,1.2,1.0,N,158,246,1,14.9,3.5,0.5,3.95,0.0,1.0,23.85,2.5,0.0
1,2024-01-01 00:35:16,2024-01-01 01:11:52,2.0,8.2,1.0,N,246,190,1,59.0,3.5,0.5,14.15,6.94,1.0,85.09,2.5,0.0
1,2024-01-01 00:43:27,2024-01-01 00:47:11,2.0,0.4,1.0,N,68,90,1,5.8,3.5,0.5,1.25,0.0,1.0,12.05,2.5,0.0
1,2024-01-01 00:51:53,2024-01-01 00:55:43,1.0,0.8,1.0,N,90,68,2,6.5,3.5,0.5,0.0,0.0,1.0,11.5,2.5,0.0
1,2024-01-01 00:50:09,2024-01-01 01:03:57,1.0,5.0,1.0,N,132,216,2,21.2,2.75,0.5,0.0,0.0,1.0,25.45,0.0,1.75
1,2024-01-01 00:41:06,2024-01-01 00:53:42,1.0,1.5,1.0,N,164,79,1,12.8,3.5,0.5,4.45,0.0,1.0,22.25,2.5,0.0
2,2024-01-01 00:52:09,2024-01-01 00:52:28,1.0,0.0,1.0,N,237,237,2,3.0,1.0,0.5,0.0,0.0,1.0,8.0,2.5,0.0
2,2024-01-01 00:56:38,2024-01-01 01:03:17,1.0,1.5,1.0,N,141,263,1,9.3,1.0,0.5,3.0,0.0,1.0,17.3,2.5,0.0
2,2024-01-01 00:32:34,2024-01-01 00:49:33,1.0,2.57,1.0,N,161,263,1,17.7,1.0,0.5,10.0,0.0,1.0,32.7,2.5,0.0
2,2024-01-01 00:52:30,2024-01-01 00:57:37,1.0,0.66,1.0,N,263,236,1,6.5,1.0,0.5,2.88,0.0,1.0,14.38,2.5,0.0
1,2024-01-01 00:36:30,2024-01-01 01:13:53,2.0,1.7,1.0,N,246,170,1,29.6,3.5,0.5,6.9,0.0,1.0,41.5,2.5,0.0
2,2024-01-01 00:44:24,2024-01-01 00:51:57,1.0,0.94,1.0,N,158,113,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2024-01-01 00:14:29,2024-01-01 00:14:29,1.0,0.0,1.0,N,236,264,2,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0
1,2024-01-01 00:42:05,2024-01-01 01:16:49,1.0,23.9,5.0,N,263,265,1,120.0,0.0,0.0,0.0,6.94,1.0,127.94,0.0,0.0
2,2024-01-01 00:12:35,2024-01-01 00:19:21,2.0,1.08,1.0,N,148,4,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2024-01-01 00:20:11,2024-01-01 00:42:53,1.0,5.88,1.0,N,4,238,1,28.9,1.0,0.5,2.5,0.0,1.0,36.4,2.5,0.0
2,2024-01-01 00:44:01,2024-01-01 00:54:31,2.0,2.22,1.0,N,238,50,1,13.5,1.0,0.5,0.0,0.0,1.0,18.5,2.5,0.0
1,2024-01-01 00:08:12,2024-01-01 00:41:08,1.0,5.1,1.0,N,239,114,2,28.9,3.5,0.5,0.0,0.0,1.0,33.9,2.5,0.0
2,2024-01-01 00:36:25,2024-01-01 00:47:26,2.0,2.09,1.0,N,233,79,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,2024-01-01 00:49:31,2024-01-01 01:35:41,2.0,8.89,1.0,N,79,41,1,47.8,1.0,0.5,7.92,0.0,1.0,60.72,2.5,0.0
1,2024-01-01 00:15:34,2024-01-01 00:28:51,2.0,2.1,1.0,N,162,143,1,14.2,3.5,0.5,3.8,0.0,1.0,23.0,2.5,0.0
2,2024-01-01 00:15:26,2024-01-01 00:33:57,1.0,11.51,1.0,N,262,171,1,44.3,1.0,0.5,11.25,6.94,1.0,67.49,2.5,0.0
2,2024-01-01 00:18:36,2024-01-01 00:40:49,1.0,1.79,1.0,N,239,68,2,19.8,1.0,0.5,0.0,0.0,1.0,24.8,2.5,0.0
1,2024-01-01 00:09:17,2024-01-01 00:16:55,2.0,2.5,1.0,N,137,140,2,12.1,3.5,0.5,0.0,0.0,1.0,17.1,2.5,0.0
1,2024-01-01 00:21:40,2024-01-01 00:27:05,1.0,1.6,1.0,N,140,229,1,9.3,3.5,0.5,3.55,0.0,1.0,17.85,2.5,0.0
1,2024-01-01 00:39:03,2024-01-01 00:44:28,4.0,1.1,1.0,N,236,238,1,7.9,3.5,0.5,0.0,0.0,1.0,12.9,2.5,0.0
1,2024-01-01 00:45:51,2024-01-01 00:49:43,2.0,0.7,1.0,N,238,142,1,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0
1,2024-01-01 00:50:46,2024-01-01 00:57:26,2.0,1.1,1.0,N,142,239,4,8.6,3.5,0.5,0.0,0.0,1.0,13.6,2.5,0.0
2,2024-01-01 00:09:49,2024-01-01 00:22:00,1.0,2.96,1.0,N,229,249,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2024-01-01 00:36:44,2024-01-01 00:54:40,1.0,1.2,1.0,N,186,48,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0
2,2024-01-01 00:58:11,2024-01-01 01:24:47,1.0,2.42,1.0,N,68,125,1,23.3,1.0,0.5,0.0,0.0,1.0,28.3,2.5,0.0
2,2024-01-01 00:24:41,2024-01-01 00:54:01,1.0,5.28,1.0,N,113,238,1,31.0,1.0,0.5,7.2,0.0,1.0,43.2,2.5,0.0
2,2024-01-01 00:55:58,2024-01-01 01:03:54,1.0,1.47,1.0,N,238,142,1,10.0,1.0,0.5,2.0,0.0,1.0,17.0,2.5,0.0
2,2024-01-01 00:19:36,2024-01-01 00:31:57,3.0,2.41,1.0,N,239,236,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
2,2024-01-01 00:45:44,2024-01-01 00:51:25,4.0,1.04,1.0,N,142,163,2,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
2,2024-01-01 00:55:21,2024-01-01 01:12:17,4.0,2.41,1.0,N,163,140,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0
2,2024-01-01 00:05:45,2024-01-01 00:17:29,1.0,1.06,1.0,N,246,90,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2024-01-01 00:18:38,2024-01-01 00:26:09,1.0,0.83,1.0,N,234,170,1,8.6,1.0,0.5,3.4,0.0,1.0,17.0,2.5,0.0
2,2024-01-01 00:38:58,2024-01-01 00:53:37,1.0,1.94,1.0,N,114,79,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2024-01-01 00:58:18,2024-01-01 01:11:51,1.0,2.23,1.0,N,79,229,1,14.2,1.0,0.5,2.0,0.0,1.0,21.2,2.5,0.0
2,2024-01-01 00:14:43,2024-01-01 00:20:30,1.0,0.78,1.0,N,142,239,1,7.2,1.0,0.5,3.05,0.0,1.0,15.25,2.5,0.0
2,2024-01-01 00:22:44,2024-01-01 00:35:03,1.0,2.02,1.0,N,239,262,1,14.2,1.0,0.5,3.0,0.0,1.0,22.2,2.5,0.0
2,2024-01-01 00:50:08,2024-01-01 01:00:50,1.0,0.57,1.0,N,163,163,2,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2024-01-01 00:36:26,2024-01-01 01:08:23,1.0,11.48,1.0,N,148,244,1,47.8,1.0,0.5,10.56,0.0,1.0,63.36,2.5,0.0
2,2024-01-01 00:13:52,2024-01-01 00:29:41,1.0,8.89,1.0,N,138,107,1,35.2,6.0,0.5,10.43,6.94,1.0,64.32,2.5,1.75
2,2024-01-01 00:40:01,2024-01-01 01:18:26,2.0,5.27,1.0,N,232,246,1,38.0,1.0,0.5,8.6,0.0,1.0,51.6,2.5,0.0
1,2024-01-01 00:24:31,2024-01-01 00:41:04,1.0,6.6,1.0,N,142,244,2,28.2,3.5,0.5,0.0,0.0,1.0,33.2,2.5,0.0
2,2024-01-01 00:09:29,2024-01-01 00:24:42,1.0,3.91,1.0,N,140,202,2,19.1,1.0,0.5,0.0,0.0,1.0,24.1,2.5,0.0
2,2024-01-01 00:34:30,2024-01-01 00:43:24,2.0,1.24,1.0,N,249,79,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
2,2024-01-01 00:45:26,2024-01-01 01:23:16,2.0,5.35,1.0,N,79,48,1,34.5,1.0,0.5,6.08,0.0,1.0,45.58,2.5,0.0
1,2024-01-01 00:14:47,2024-01-01 00:40:55,1.0,3.0,1.0,N,43,68,2,21.9,3.5,0.5,0.0,0.0,1.0,26.9,2.5,0.0
1,2024-01-01 00:47:51,2024-01-01 01:21:04,1.0,3.8,1.0,N,246,145,1,27.5,3.5,0.5,7.9,6.94,1.0,47.34,2.5,0.0
2,2024-01-01 00:32:03,2024-01-01 00:54:57,2.0,1.69,1.0,N,161,90,1,19.8,1.0,0.5,1.0,0.0,1.0,25.8,2.5,0.0
1,2024-01-01 00:38:04,2024-01-01 00:42:53,2.0,0.7,1.0,N,143,142,1,6.5,3.5,0.5,2.0,0.0,1.0,13.5,2.5,0.0
1,2024-01-01 00:48:30,2024-01-01 01:03:44,1.0,0.8,1.0,N,48,68,2,13.5,3.5,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2024-01-01 00:18:51,2024-01-01 00:33:03,1.0,2.14,1.0,N,249,232,1,14.9,1.0,0.5,5.97,0.0,1.0,25.87,2.5,0.0
2,2024-01-01 00:39:51,2024-01-01 00:48:56,2.0,1.79,1.0,N,148,249,1,11.4,1.0,0.5,4.92,0.0,1.0,21.32,2.5,0.0
1,2024-01-01 00:57:24,2024-01-01 01:06:53,2.0,1.2,1.0,N,148,107,1,10.7,3.5,0.5,2.36,0.0,1.0,18.06,2.5,0.0
2,2024-01-01 00:44:37,2024-01-01 00:56:29,2.0,1.01,1.0,N,68,107,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0
2,2024-01-01 00:39:47,2024-01-01 01:00:24,1.0,2.21,1.0,N,237,137,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
2,2024-01-01 00:13:55,2024-01-01 00:27:27,1.0,2.12,1.0,N,234,148,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
2,2024-01-01 00:33:00,2024-01-01 00:51:54,1.0,3.6,1.0,N,148,141,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2024-01-01 00:29:21,2024-01-01 00:34:32,2.0,0.67,1.0,N,237,236,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,2024-01-01 00:36:09,2024-01-01 01:08:16,1.0,2.88,1.0,N,236,137,1,27.5,1.0,0.5,6.5,0.0,1.0,39.0,2.5,0.0
2,2024-01-01 00:46:16,2024-01-01 01:20:10,1.0,20.85,2.0,N,132,239,1,70.0,0.0,0.5,0.0,6.94,1.0,82.69,2.5,1.75
2,2024-01-01 00:14:52,2024-01-01 00:17:38,5.0,0.55,1.0,N,239,143,1,5.1,1.0,0.5,1.52,0.0,1.0,11.62,2.5,0.0
2,2024-01-01 00:22:06,2024-01-01 00:51:28,5.0,3.1,1.0,N,143,170,1,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0
1,2024-01-01 00:27:23,2024-01-01 00:35:26,4.0,1.0,1.0,N,43,161,1,9.3,3.5,0.5,5.0,0.0,1.0,19.3,2.5,0.0
1,2024-01-01 00:45:38,2024-01-01 01:01:57,2.0,1.8,1.0,N,161,236,1,16.3,3.5,0.5,4.26,0.0,1.0,25.56,2.5,0.0
2,2024-01-01 00:21:22,2024-01-01 00:45:26,1.0,1.88,1.0,N,234,162,2,20.5,1.0,0.5,0.0,0.0,1.0,25.5,2.5,0.0
2,2024-01-01 00:52:30,2024-01-01 01:10:29,1.0,1.84,1.0,N,162,113,1,16.3,1.0,0.5,5.33,0.0,1.0,26.63,2.5,0.0
2,2024-01-01 00:08:48,2024-01-01 00:09:33,1.0,0.05,1.0,N,246,68,1,3.0,1.0,0.5,0.08,0.0,1.0,8.08,2.5,0.0
2,2024-01-01 00:33:59,2024-01-01 00:39:53,1.0,0.71,1.0,N,48,142,1,7.2,1.0,0.5,3.66,0.0,1.0,15.86,2.5,0.0
1,2024-01-01 00:27:13,2024-01-01 00:29:51,2.0,0.2,1.0,N,170,233,1,4.4,3.5,0.5,0.0,0.0,1.0,9.4,2.5,0.0
1,2024-01-01 00:50:29,2024-01-01 01:42:04,4.0,2.3,1.0,N,43,186,2,40.1,3.5,0.5,0.0,0.0,1.0,45.1,2.5,0.0
1,2024-01-01 00:54:24,2024-01-01 01:28:53,1.0,9.5,1.0,N,233,181,1,44.3,3.5,0.5,9.85,0.0,1.0,59.15,2.5,0.0
2,2024-01-01 00:27:02,2024-01-01 01:03:56,1.0,5.91,1.0,N,262,244,1,35.2,1.0,0.5,8.04,0.0,1.0,48.24,2.5,0.0
2,2024-01-01 00:21:00,2024-01-01 00:46:17,1.0,1.51,1.0,N,68,50,1,21.2,1.0,0.5,4.74,0.0,1.0,28.44,0.0,0.0
2,2024-01-01 00:50:40,2024-01-01 01:13:44,1.0,1.11,1.0,N,50,233,2,20.5,1.0,0.5,0.0,0.0,1.0,23.0,0.0,0.0
2,2024-01-01 00:07:59,2024-01-01 00:14:37,1.0,1.52,1.0,N,137,141,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2024-01-01 00:30:53,2024-01-01 00:40:38,1.0,3.04,1.0,N,170,148,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
1,2024-01-01 00:20:39,2024-01-01 00:33:30,2.0,2.1,1.0,N,79,170,1,12.8,3.5,0.5,0.0,0.0,1.0,17.8,2.5,0.0
2,2024-01-01 00:19:39,2024-01-01 00:41:38,1.0,1.55,1.0,N,68,50,2,19.1,1.0,0.5,0.0,0.0,1.0,24.1,2.5,0.0
2,2024-01-01 00:42:43,2024-01-01 00:50:49,1.0,2.0,1.0,N,50,238,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,2024-01-01 00:54:16,2024-01-01 01:27:40,1.0,13.74,1.0,N,239,95,1,56.9,1.0,0.5,13.77,6.94,1.0,82.61,2.5,0.0
2,2024-01-01 00:13:58,2024-01-01 00:33:39,1.0,4.2,1.0,N,148,237,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0
2,2024-01-01 00:35:53,2024-01-01 00:47:59,1.0,1.14,1.0,N,237,233,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
2,2024-01-01 00:50:28,2024-01-01 01:38:39,1.0,20.34,1.0,N,132,26,1,80.0,1.0,0.5,2.0,0.0,1.0,86.25,0.0,1.75
2,2024-01-01 00:18:24,2024-01-01 00:30:39,1.0,2.16,1.0,N,249,232,4,-13.5,-1.0,-0.5,0.0,0.0,-1.0,-18.5,-2.5,0.0
